job title,company name,location,skills,detail link,salary
AI Academy Vodafone,Vodafone,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946984.html,
Senior Business Analyst,dopay,"Egypt                                    , Cairo",Business Intelligence & Data Analytics,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946544.html,



vodafone_cai=df(df['company name'=='ciro'] & df['l'])











Junior Solution Architect  RedHat,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946996.html,
Intern AI Technical,Tamatem,Egypt,Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946063.html,
SCC V&V Engineer,Alstom,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946974.html,
AI Engineer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020946978.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944009.html,
Senior Data Engineer,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944035.html,
Intern Data Engineer,Thndr,"Egypt                                    , Cairo",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944769.html,
Director of Data Science,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945391.html,
Associate Professor,German University in Cairo,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945218.html,
DevOps Engineer,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945403.html,
Test Automation Engineer,Luxoft,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943948.html,
Intern SC & Ops Digital Transformation Summer,Henkel,Egypt,Business Intelligence & Data Analytics,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944666.html,
Director of Data Science,Invygo,Egypt,Business Intelligence & Data Analytics,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944779.html,
Junior Solution Architect,Redhat,Egypt,Solution Architecture & Management,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944780.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944011.html,
Senior Data Engineer,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944034.html,
Associate Professor,GUC,"Egypt                                    , Cairo",Research,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944671.html,
Associate Professor,GUC,"Egypt                                    , Cairo",Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944681.html,
Senior Full-Stack Engineer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945383.html,
Senior Specialist,Vodafone,"Egypt                                    , Giza",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943859.html,
AI Architect,DeepSource Technologies,Egypt,Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943397.html,
Principal Software Engineer,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945382.html,
Associate Professor in AI and Prescriptive Decision Systems,German University in Cairo,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945219.html,
Senior Data Engineer,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944032.html,
Senior Data Engineer,Easygenerator,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944036.html,
AI Engineer,NoGood,Egypt,Operations Improvement and Process Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944809.html,
SCC V&V Engineer,Alstom,"Egypt                                    , Cairo",Railway Signalling Project Management,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944810.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944013.html,
DevOps Engineer,Sana Commerce,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020945434.html,
Data Analyst - Temenos,QNBeyond Plus,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941335.html,
DevOps Engineer,Sana Commerce,"Egypt                                    , Alexandria",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943658.html,
Geotechnical Engineer/Dewatering System Design,DAR,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941408.html,
AUC Employment Fair - May 2026,Banque Misr Transformation office,Egypt,Banking,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943613.html,
Principal Software Engineer,Adree,Egypt,Research,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943127.html,
Programming Instructor,iSchool,Egypt,Education/Training,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944852.html,
DC Physical Sessions #1,iSchool,Egypt,Education/Training,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020942704.html,
Systems Engineer,Partner One Capital,Egypt,Cost Planning (Residential Development),https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943429.html,
Senior MLOps Engineer,mylo,Egypt,Digital Transformation Project Management,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943560.html,
Systems & Integration Engineer,Flatgigs,Egypt,Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943546.html,
Senior Backend Software Engineer (.NET),Flatgigs,Egypt,Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943515.html,
DevOps Engineer,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941832.html,
AI Developer,Hire with Reef,Egypt,Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943523.html,
Engineering Design Specialist,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941446.html,
Senior Full-Stack Developer,Talent-360.me,Egypt,Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020944825.html,
Forward Deployed AI Engineer,Flatgigs,Egypt,Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943405.html,
Senior Cloud Engineer,ZainTECH,Egypt,Solution Architecture & Management,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020943433.html,
Electrical Engineering Pod Lead,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941440.html,
Senior Oracle Middleware Database Administrator,Everhires,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941280.html,
Sr. Specialist,Vodafone - Egypt,"Egypt                                    , Cairo",Real Estate Data and Analysis,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941465.html,
Data Governance Expert,Vodafone - Egypt,"Egypt                                    , Cairo",Data Privacy & Compliance,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020941542.html,
Platform Architect & Backend Lead,Flatgigs,Egypt,Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943514.html,
DC Physical Sessions #2,iSchool,Egypt,Education/Training,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020943132.html,
PI Software Engineer,Müller`s Solutions,Egypt,Operations Improvement and Process Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020942733.html,
Senior Data Engineer,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940401.html,
Senior Data Scientist,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940406.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Alexandria",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020939338.html,
Sr AI & Software Developer,RATPDev Mobility Cairo,"Egypt                                    , Cairo",Cost Planning (Residential Development),https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938437.html,
Senior Data Scientist,Sana Commerce,"Egypt                                    , Alexandria",Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020939420.html,
Semi Senior Python Developer,BairesDev,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938861.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Alexandria",Business Intelligence & Data Analytics,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020939419.html,
Senior MLOps Engineer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940119.html,
GenAI RAG Engineer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940448.html,
Senior Data Engineer,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940463.html,
Full stack Developer- VOIS,Vodafone - Egypt,"Egypt                                    , Cairo",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938446.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Cairo",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020939442.html,
Staff Machine Learning Engineer,Agoda,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938689.html,
Senior/Staff Machine Learning Engineer - Bidding,Agoda,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938690.html,
"Senior Cloud Engineer, Site Reliability Engineer",Deloitte,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938704.html,
Senior Data Engineer,Sana Commerce,"Egypt                                    , Cairo",Cost Planning (Residential Development),https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020939322.html,
Full Stack Developer,Vodafone,"Egypt                                    , Giza",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940297.html,
Semi Senior Python Developer,BairesDev,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938864.html,
AI Evaluation Engineer,Gramian Consulting,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938911.html,
Remote ML Engineer,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938935.html,
Senior AI & Software Developer,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940117.html,
Senior Data Scientist,Sana Commerce,"Egypt                                    , Alexandria",Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020939336.html,
Mid-level AI / Backend / API Developer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940198.html,
Intern Test Engineer,Luxoft,"Egypt                                    , Cairo",Software Testing,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020939519.html,
Senior Data Engineer,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940403.html,
